Date,60-day
12/10/2010, 0.4490 
11/10/2010, 0.4509 
8/10/2010, 0.4501 
7/10/2010, 0.4784 
6/10/2010, 0.4780 
5/10/2010, 0.4794 
4/10/2010, 0.4791 
1/10/2010, 0.4757 
30/9/2010, 0.4771 
29/9/2010, 0.4778 
28/9/2010, 0.5032 
27/9/2010, 0.5008 
24/9/2010, 0.5034 
23/9/2010, 0.4919 
22/9/2010, 0.4902 
21/9/2010, 0.4947 
20/9/2010, 0.5252 
17/9/2010, 0.5192 
16/9/2010, 0.5179 
15/9/2010, 0.5240 
14/9/2010, 0.5236 
13/9/2010, 0.5320 
10/9/2010, 0.5290 
9/9/2010, 0.5284 
8/9/2010, 0.5267 
7/9/2010, 0.5271 
6/9/2010, 0.5357 
3/9/2010, 0.5322 
2/9/2010, 0.5288 
1/9/2010, 0.5472 
31/8/2010, 0.5254 
30/8/2010, 0.5235 
27/8/2010, 0.5208 
26/8/2010, 0.5409 
25/8/2010, 0.5400 
24/8/2010, 0.5523 
23/8/2010, 0.5579 
